,Registration Price,Renewal Price,TLD,Minimum Term
327,2.99,14.99,.rocks,1 Year
328,6.99,8.99,.rodeo,1 Year
329,28.99,28.99,.ru,1 Year
330,3.99,21.99,.run,1 Year
331,6.99,30.99,.sale,1 Year
332,33.99,33.99,.sarl,1 Year
333,119.99,119.99,.sc,1 Year
334,13.99,34.99,.school,1 Year
335,16.99,21.99,.schule,1 Year
336,6.99,8.99,.science,1 Year
337,49.99,49.99,.se,1 Year
338,2600.99,2600.99,.security,1 Year
339,6.99,33.99,.services,1 Year
340,8.99,35.99,.sexy,1 Year
341,59.99,59.99,.sg,1 Year
342,17.99,17.99,.shiksha,1 Year
343,26.99,48.99,.shoes,1 Year
344,34.99,34.99,.shop,1 Year
345,26.99,29.99,.shopping,1 Year
346,7.0,33.99,.show,1 Year
347,32.99,32.99,.si,1 Year
348,6.99,33.99,.singles,1 Year
349,4.99,24.99,.site,1 Year
350,13.99,43.99,.ski,1 Year
351,21.99,21.99,.soccer,1 Year
352,6.99,33.99,.social,1 Year
353,13.99,33.99,.software,1 Year
354,45.99,45.99,.solar,1 Year
355,8.99,21.99,.solutions,1 Year
356,30.99,30.99,.soy,1 Year
357,2.99,19.99,.space,1 Year
358,39.99,39.99,.srl,1 Year
359,49.99,49.99,.st,1 Year
360,650.99,650.99,.storage,1 Year
361,9.99,49.99,.store,1 Year
362,2.99,2.99,.stream,1 Year
363,19.99,27.99,.studio,1 Year
364,13.99,31.99,.study,1 Year
365,9.99,33.99,.style,1 Year
366,22.99,22.99,.supplies,1 Year
367,22.99,22.99,.supply,1 Year
368,5.99,21.99,.support,1 Year
369,33.99,33.99,.surf,1 Year
370,58.99,58.99,.surgery,1 Year
371,5.99,21.99,.systems,1 Year
372,8.99,41.99,.tattoo,1 Year
373,9.99,58.99,.tax,1 Year
374,9.99,54.99,.taxi,1 Year
375,6.99,33.99,.team,1 Year
376,8.99,44.99,.tech,1 Year
377,5.99,21.99,.technology,1 Year
378,11.99,13.99,.tel,1 Year
379,50.99,50.99,.tennis,1 Year
380,54.99,54.99,.theater,1 Year
381,455.99,455.99,.tickets,1 Year
382,58.99,58.99,.tienda,1 Year
383,9.99,21.99,.tips,1 Year
384,2.99,21.99,.today,1 Year
385,14.99,14.99,.tokyo,1 Year
386,8.99,33.99,.tools,1 Year
387,6.99,48.99,.tours,1 Year
388,6.99,33.99,.town,1 Year
389,13.99,45.99,.toys,1 Year
390,2.99,4.99,.trade,1 Year
391,13.99,33.99,.training,1 Year
392,26.99,135.99,.travel,1 Year
393,29.99,29.99,.tv,1 Year
394,32.99,32.99,.tw,1 Year
395,9.99,9.99,.uk,1 Year
396,43.99,58.99,.university,1 Year
397,33.99,33.99,.uno,1 Year
398,4.99,11.99,.us,1 Year
399,33.99,33.99,.vacations,1 Year
400,34.99,34.99,.vc,1 Year
401,64.99,64.99,.vegas,1 Year
402,9.99,55.99,.ventures,1 Year
403,26.99,33.99,.vet,1 Year
404,42.99,55.99,.viajes,1 Year
405,19.99,24.99,.video,1 Year
406,58.99,58.99,.villas,1 Year
407,14.99,16.99,.vip,1 Year
408,33.99,33.99,.vision,1 Year
409,33.99,33.99,.vodka,1 Year
